Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),SP13,168,66,69.2%,83.1%,3.61,B+(3.58),B+(3.38)
"McCleary,KeithLong",CAT125-PublicRhetoric&PractCommun(C),SP13,30,20,100.0%,100.0%,7.10,A-(3.71),B+(3.45)
"Burr,AnthonyI","CAT3-Culture,Art&TechnologyIII(A)",SP13,192,76,56.6%,71.1%,3.38,B+(3.44),B+(3.43)
"Hankins,JosephD.","CAT3-Culture,Art&TechnologyIII(B)",SP13,209,89,74.2%,98.9%,4.06,B+(3.40),B+(3.39)
"Dominguez,Ricardo","CAT3-Culture,Art&TechnologyIII(D)",SP13,118,45,53.5%,67.4%,2.73,B+(3.43),B(3.28)
"Fowler,James","CAT3-Culture,Art&TechnologyIII(E)",SP13,157,57,76.8%,96.4%,3.15,B+(3.44),B+(3.39)
"Oates,CharlesBruce",CAT75-ExperienceArt!SeminarSeries(A),SP13,16,4,100.0%,100.0%,1.00,N/A,N/A
"Curtis,CharlesRector",CAT75-ExperienceArt!SeminarSeries(B),SP13,8,4,100.0%,100.0%,0.50,A(4.00),N/A
"Glaser,Amelia",CAT75-ExperienceArt!SeminarSeries(C),SP13,12,5,100.0%,100.0%,1.30,A(4.00),N/A
"Slavet,ElizaFarro",CAT125-PublicRhetoric&PractCommun(A),WI13,172,141,77.4%,83.2%,4.22,B+(3.56),B+(3.46)
"Losh,Elizabeth",CAT125-PublicRhetoric&PractCommun(B),WI13,229,91,76.4%,92.1%,4.20,B+(3.58),B+(3.54)
"Pressman,JessicaB.","CAT2-Culture,Art&TechnologyII(A)",WI13,178,98,75.0%,92.7%,4.52,B(3.29),B(3.17)
"Westman,RobertS","CAT2-Culture,Art&TechnologyII(B)",WI13,160,76,50.0%,65.7%,4.76,B+(3.34),B(3.18)
"Thorpe,CharlesRobert","CAT2-Culture,Art&TechnologyII(C)",WI13,180,109,81.1%,90.6%,4.88,B(3.19),B-(2.98)
"Doppelt,GeraldD.","CAT2-Culture,Art&TechnologyII(D)",WI13,184,111,80.2%,93.7%,6.01,B(3.11),B-(2.88)
"Macagno,EduardoR.",CAT87-FreshmanSeminar(A),WI13,9,6,100.0%,100.0%,2.50,N/A,N/A
