Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Sadegholvad,Elham",LIHL117W-PersianforPersianSpeakers(A),WI18,15,12,100.0%,100.0%,3.17,A(4.00),N/A
"Sadegholvad,Elham",LIHL119W-HindiforHindiSpeakers(A),WI18,17,6,100.0%,100.0%,5.00,A(4.00),N/A
"Hill,KimloanT.V.",LIHL124W-IntVietnamese/VietnameseSpkr(A),WI18,21,9,100.0%,100.0%,2.94,A-(3.75),B+(3.52)
"Alicio,Atilio",LIHL132W-AdvFilipino/FilipinoSpkrs(A),WI18,12,6,100.0%,100.0%,3.83,B+(3.33),N/A
"Kehler,AndrewScott",LIGN101-Introduction/StudyofLanguage(A),FA17,117,68,89.4%,90.8%,4.32,B(3.20),B-(2.87)
"Bakovic,EricJohn",LIGN110-Phonetics(A),FA17,74,63,80.3%,82.0%,4.50,B(3.07),B+(3.61)
"Lott,MargaretS.",LIGN144-DiscourseAnalysis:ASLPoetr(A),FA17,21,12,100.0%,100.0%,2.33,B+(3.55),B+(3.52)
"Monich,IrinaVitta",LIGN150-HistoricalLinguistics(A),FA17,34,18,70.6%,70.6%,4.72,B(3.24),B+(3.46)
"Caballero,GabrielaHernandez",LIGN152-IndigenousLanguages/Americas(A),FA17,19,11,100.0%,100.0%,4.14,B+(3.44),N/A
"Kluender,Robert",LIGN155-EvolutionofLanguage(A),FA17,25,19,94.7%,100.0%,5.34,B(3.22),B(3.17)
"Mayberry,Rachel",LIGN171-ChildLanguageAcquisition(A),FA17,39,32,78.1%,75.0%,5.06,B+(3.35),B(3.24)
"Goodall,GrantTodd",LIGN5-LinguisticsofInventedLang(A),FA17,69,39,94.3%,97.1%,2.33,B(3.29),B-(2.86)
"Caballero,GabrielaHernandez",LIGN8-Languages&Cultures/America(A),FA17,204,91,90.9%,98.9%,3.58,B+(3.64),B+(3.56)
"Alicio,Atilio",LIHL112F-FilipinoforFilipinoSpeakers(A),FA17,23,9,100.0%,100.0%,6.28,B+(3.50),B(3.25)
"Hill,KimloanT.V.",LIHL114F-BeginningVietnameseforVietn(A),FA17,19,5,100.0%,100.0%,4.00,A(4.00),N/A
"Sadegholvad,Elham",LIHL115F-KoreanforKoreanSpeakers(A),FA17,11,8,100.0%,100.0%,3.75,B+(3.60),N/A
"Sadegholvad,Elham",LIHL117F-PersianforPersianSpeakers(A),FA17,17,6,100.0%,100.0%,3.50,A(4.00),N/A
"Sadegholvad,Elham",LIHL119F-HindiforHindiSpeakers(A),FA17,17,6,100.0%,75.0%,4.00,B+(3.33),N/A
"Alicio,Atilio",LIHL132F-AdvFilipino/FilipinoSpkrs(A),FA17,16,5,100.0%,100.0%,5.70,B+(3.50),N/A
"Hill,KimloanT.V.",LIHL134F-AdvVietnamese/VietnameseSpkr(A),FA17,16,3,66.7%,66.7%,3.83,A(4.00),N/A
"Biswas,Priyanka",LIGN8-Languages&Cultures/America(A),S117,49,38,89.5%,97.4%,3.34,B+(3.32),B+(3.39)
"ElCheddadi,Youniss",LIAB1F-IntermediateArabicConversatn(A),SP17,13,6,100.0%,100.0%,2.50,A(4.00),N/A
"Wittenberg,EvaH",LIGN101-Introduction/StudyofLanguage(A),SP17,50,46,84.4%,88.9%,4.63,B(3.19),B(3.02)
"Rose,Sharon",LIGN120-Morphology(A),SP17,56,27,96.2%,92.3%,5.38,B(3.04),C+(2.59)
"Caponigro,Ivano",LIGN130-Semantics(A),SP17,61,37,88.6%,94.3%,3.59,B+(3.34),B(3.18)
"Mayberry,Rachel",LIGN148-PsycholinguisticsofSignLang(A),SP17,33,30,96.7%,86.7%,4.37,B(3.26),B(3.22)
"Biswas,Priyanka",LIGN165-ComputationalLinguistics(A),SP17,48,21,89.5%,57.9%,4.94,B+(3.53),A-(3.74)
