Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Whiteside,LindaSue",EDS137-Intro/Discipl/SpecificTeachng(A),WI17,11,11,100.0%,100.0%,4.32,A-(3.90),N/A
"Chung,LuzMarina",EDS140-IntroActionRsrchP-12Edu(A),WI17,13,4,100.0%,100.0%,4.50,A(4.00),N/A
"Velasquez,Patrick",EDS22-EducationinCuba(A),WI17,14,8,100.0%,100.0%,3.50,A-(3.83),N/A
"Velasquez,Patrick",EDS23-HigherEducationSecondYear(A),WI17,42,16,100.0%,100.0%,1.36,A(4.00),N/A
"Velasquez,Patrick",EDS23-HigherEducationSecondYear(B),WI17,29,11,90.9%,100.0%,0.50,N/A,N/A
"Heinzman,EricaM.",EDS39-Prac/Sci&MathTeching/Learning(A),WI17,18,18,100.0%,100.0%,4.50,A-(3.87),N/A
"Simon,BethShara",EDS87-FreshmanSeminar(A),WI17,11,7,100.0%,100.0%,0.90,N/A,N/A
"Simon,ElizabethA",EDS114-CognDevelp&IntractvComptEnv(A),FA16,18,8,87.5%,87.5%,4.00,A-(3.86),N/A
"Velasquez,Patrick",EDS116-Psych/Teach&Struc/Information(A),FA16,17,10,100.0%,100.0%,3.50,A(4.00),N/A
"Gallagher-Geurtsen,TriciaMeghan","EDS117-Language,Culture&Education(A)",FA16,66,55,96.2%,94.3%,5.42,A-(3.72),B+(3.69)
"Chung,LuzMarina","EDS117-Language,Culture&Education(B)",FA16,65,18,88.2%,94.1%,6.15,A-(3.81),B+(3.55)
"Mulloy,AustinMadison",EDS118-AdolescentDevlp&Education(A),FA16,42,27,79.2%,33.3%,4.92,A-(3.91),A-(3.85)
"Allen,BobbieM","EDS125-Hist,Polic&Theory/BilingualEd(A)",FA16,68,57,96.4%,85.7%,4.87,A-(3.90),A-(3.75)
"Binder,Amy",EDS126-SocialOrganization/Education(A),FA16,26,12,100.0%,90.9%,5.70,B(3.10),B(3.05)
"Millstone,RachelDiana",EDS129A-Intro/Teach&Learn(Secondary)(A),FA16,53,26,100.0%,96.0%,6.18,A-(3.92),A-(3.90)
"Holtzman,CarenLynn",EDS130-Intro/AcadMent/ElemSchlStdn(A),FA16,47,33,100.0%,100.0%,4.50,A-(3.84),A-(3.75)
"Cohen,ShanaR",EDS131-EarlyChildDev&Education(A),FA16,27,17,100.0%,100.0%,6.75,A-(3.79),B+(3.52)
"Jones,Makeba",EDS136-Intro/AcadTut/SecondSchlStd(A),FA16,53,50,94.0%,100.0%,5.07,A-(3.91),A(4.00)
